fecha,nivel
2026-09-18T09:24:00,1.339
2026-09-18T09:30:00,1.386
2026-09-18T09:36:00,1.356
2026-09-18T09:42:00,1.413
2026-09-18T09:48:00,1.41
2026-09-18T09:54:00,1.439
2026-09-18T10:00:00,1.492
2026-09-18T10:06:00,1.444
2026-09-18T10:12:00,1.466
2026-09-18T10:18:00,1.496
2026-09-18T10:24:00,1.487
2026-09-18T10:30:00,1.564
2026-09-18T10:36:00,1.49
2026-09-18T10:42:00,1.557
2026-09-18T10:48:00,1.585
2026-09-18T10:54:00,1.552
2026-09-18T11:00:00,1.621
2026-09-18T11:06:00,1.648
2026-09-18T11:12:00,1.609
2026-09-18T11:18:00,1.646
2026-09-18T11:24:00,1.669
2026-09-18T11:30:00,1.587
2026-09-18T11:36:00,1.605
2026-09-18T11:42:00,1.592
2026-09-18T11:48:00,1.569
2026-09-18T11:54:00,1.585
2026-09-18T12:06:00,1.553
2026-09-18T12:12:00,1.563
2026-09-18T12:18:00,1.491
2026-09-18T12:24:00,1.464
2026-09-18T12:30:00,1.493
2026-09-18T12:36:00,1.435
2026-09-18T12:42:00,1.432
2026-09-18T12:48:00,1.411
2026-09-18T12:54:00,1.389
2026-09-18T13:00:00,1.287
2026-09-18T13:06:00,1.288
2026-09-18T13:12:00,1.255
2026-09-18T13:18:00,1.222
2026-09-18T13:24:00,1.23
2026-09-18T13:30:00,1.145
2026-09-18T13:36:00,1.126
2026-09-18T13:42:00,1.059
2026-09-18T13:48:00,1.058
2026-09-18T13:54:00,1.025
2026-09-18T14:00:00,0.971
2026-09-18T14:06:00,0.953
2026-09-18T14:12:00,0.869
2026-09-18T14:18:00,0.894
2026-09-18T14:24:00,0.829
2026-09-18T14:30:00,0.807
2026-09-18T14:36:00,0.8
2026-09-18T14:42:00,0.758
2026-09-18T14:48:00,0.745
2026-09-18T14:54:00,0.771
2026-09-18T15:00:00,0.667
2026-09-18T15:06:00,0.7
2026-09-18T15:12:00,0.721
2026-09-18T15:18:00,0.631
2026-09-18T15:24:00,0.633
2026-09-18T15:30:00,0.534
2026-09-18T15:36:00,0.541
2026-09-18T15:42:00,0.53
2026-09-18T15:48:00,0.417
2026-09-18T15:54:00,0.455
2026-09-18T16:00:00,0.444
2026-09-18T16:06:00,0.356
2026-09-18T16:12:00,0.4
2026-09-18T16:18:00,0.428
2026-09-18T16:24:00,0.399
2026-09-18T16:30:00,0.337
2026-09-18T16:36:00,0.415
2026-09-18T16:42:00,0.319
2026-09-18T16:48:00,0.26
2026-09-18T16:54:00,0.299
2026-09-18T17:00:00,0.209
2026-09-18T17:06:00,0.222
2026-09-18T17:12:00,0.242
2026-09-18T17:18:00,0.198
2026-09-18T17:24:00,0.114
2026-09-18T17:30:00,0.131
2026-09-18T17:36:00,0.18
2026-09-18T17:42:00,0.136
2026-09-18T17:48:00,0.111
2026-09-18T17:54:00,0.103
2026-09-18T18:00:00,0.133
2026-09-18T18:06:00,0.092
2026-09-18T18:12:00,0.121
2026-09-18T18:18:00,0.136
2026-09-18T18:24:00,0.177
2026-09-18T18:30:00,0.156
2026-09-18T18:36:00,0.077
2026-09-18T18:42:00,0.14
2026-09-18T18:48:00,0.13
2026-09-18T18:54:00,0.121
2026-09-18T19:00:00,0.12
2026-09-18T19:06:00,0.188
2026-09-18T19:12:00,0.171
2026-09-18T19:18:00,0.154
2026-09-18T19:24:00,0.175
2026-09-18T19:30:00,0.153
2026-09-18T19:36:00,0.168
2026-09-18T19:42:00,0.251
2026-09-18T19:48:00,0.244
2026-09-18T19:54:00,0.231
2026-09-18T20:00:00,0.228
2026-09-18T20:06:00,0.26
2026-09-18T20:12:00,0.327
2026-09-18T20:18:00,0.288
2026-09-18T20:24:00,0.273
2026-09-18T20:30:00,0.308
2026-09-18T20:36:00,0.26
2026-09-18T20:42:00,0.324
2026-09-18T20:48:00,0.348
2026-09-18T20:54:00,0.416
2026-09-18T21:00:00,0.387
2026-09-18T21:06:00,0.435
2026-09-18T21:12:00,0.473
2026-09-18T21:18:00,0.41
2026-09-18T21:24:00,0.507
2026-09-18T21:30:00,0.548
2026-09-18T21:36:00,0.519
2026-09-18T21:42:00,0.499
2026-09-18T21:48:00,0.549
2026-09-18T21:54:00,0.665
2026-09-18T22:00:00,0.58
2026-09-18T22:06:00,0.548
2026-09-18T22:12:00,0.685
2026-09-18T22:18:00,0.638
2026-09-18T22:24:00,0.74
2026-09-18T22:30:00,0.749
2026-09-18T22:36:00,0.785
2026-09-18T22:42:00,0.787
2026-09-18T22:48:00,0.764
2026-09-18T22:54:00,0.855
2026-09-18T23:00:00,0.857
2026-09-18T23:06:00,0.815
2026-09-18T23:12:00,0.802
2026-09-18T23:18:00,0.891
2026-09-18T23:24:00,0.859
2026-09-18T23:30:00,0.885
2026-09-18T23:36:00,0.883
2026-09-18T23:42:00,0.863
2026-09-18T23:48:00,0.954
2026-09-18T23:54:00,0.935
